,คอร์สเรียนเดือน มีนาคม ,,,,,,,,,,,
,,เริ่มเรียน,,,,,,,เรียนจบ,,,
NO.,คอร์สภาษาเกาหลี วันจันทร์-อังคาร 16.00.18.00 น.,2/3,3/3,9/3,10/3,16/3,17/3,23/3,24/3,28/3 (ชดเชย),29/3(ชดเชย),
1,คุณรัตติยา อุยะทิตัง [พี่เปิ้ล],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
2,คุณกัญญาภัทร ยอดแสง [พี่แนน],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,
3,คุณมนัสชนก ยศราช [พี่เจี๊ยบ],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
4,คุณณัฐธิดา แซ่ม้า [จ๊ะ],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
5,คุณผกามาส กันธะวงค์ [แพรวา],TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,คอร์สภาษาเกาหลี วันพุธ-พฤหัสบดี 16.00.18.00 น.,4/3,5/3,11/3,12/3,18/3,19/3,25/3,26/3,28/3 (ชดเชย),,
1,คุณรัตติยา อุยะทิตัง,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
2,คุณกัญญาภัทร ยอดแสง,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,
3,คุณณัฐธิดา แซ่ม้า,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,
4,คุณผกามาส กันธะวงค์,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,คอร์สภาษาอังกฤษ วันเสาร์-อาทิตย์ 14.00-16.00 น. ,28/2,1/3,7/3,8/3,14/3,15/3,21/3,22/3,,,
6,ด.ช.พสิษฐ์ สุกันทอง,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,
7,ด.ญ.มันทรภรณ์ ชาญสังคีต,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,
,,,,,,,,,,,,
,คอร์สภาษาอังกฤษ วันเสาร์-อาทิตย์ 14.00-16.00 น. ,21/3,22/3,28/3,29/3,4/4,5/4,18/4,19/4,,,
8,ด.ช.กิตติพงศ์ พิมภัคดี,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,
,คอร์สภาษาเกาหลี วันเสาร์-อาทิตย์ 10.00-12.00 น.,7/3,8/3,14/3,15/3,21/3,22/3,28/3,29/3,,,
9,คุณพงศธร วงค์อนุกุล,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
,,14/3,15/3,21/3,22/3,28/3,29/3,4/4,5/4,,,
10,น้องเพลินใจ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,
,,15/3,21/3,22/3,28/3,29/3,4/4,5/4,18/4,,,
11,คุณธัญวรัตน์ จิตต์นิยม (พี่น้ำหวาน),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,
12,น้องใบตอง,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,
,,7/3,8/3,14/3,15/3,21/3,22/3,23/3,24/3,,,
13,คุณนาตาชา แก้วมาลา,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,                     
,,,,,,,,,,,,
,,,,,,,,,,,,
,คอร์สภาษาเกาหลี [Eng] วันเสาร์-อาทิตย์ 12.00-14.00 น.,8/3,14/3,15/3,21/3,22/3,28/3,29/3,4/4,,,
14,น้องแทพุง,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
15,น้องแทซาน,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,คอร์สภาษาเกาหลีสนทนาส่วนตัว 10.00-12.00 น.,18/3,19/3,21/3,22/3,8/4,22/4,,,,,
16,คุณนาตาชา แก้วมาลา,TRUE,TRUE,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,คอร์สภาษาอังกฤษ INTERVIEW วันพุธ-ศุกร์ 10.00-12.00 น.,25/3,26/3,27/3,,,,,,,,
17,น้องเอเด็น,TRUE,TRUE,TRUE,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,คอร์สภาษาอังกฤษ วันพุธ-ศุกร์ 14.00-16.00 น.,25/3,27/3,1/4,3/4,8/4,10/4,22/4,24/4,,,
18,น้องหนูนา,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,คอร์สภาษาอังกฤษ วันพุธ-พฤหัส 14.00-16.00 น.,25/3,26/3,1/4,2/4,8/4,9/4,22/4,23/4,29/4,,
19,น้องหนูนิน,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
20,น้องใบบัว,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
21,น้องอัศวิน,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,
22,น้้องอดิเทพ,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,
